     0.04000   0.02489
     0.08000   0.07425
     0.12000   0.11244
     0.16000   0.14944
     0.20000   0.18521
     0.24000   0.21967
     0.28000   0.25270
     0.32000   0.28411
     0.36000   0.31372
     0.40000   0.34135
     0.44000   0.36687
     0.48000   0.39019
     0.52000   0.41127
     0.56000   0.43009
     0.60000   0.44672
     0.64000   0.46121
     0.68000   0.47367
     0.72000   0.48422
     0.76000   0.49297
     0.80000   0.50007
     0.84000   0.50564
     0.88000   0.50982
     0.92000   0.51272
     0.96000   0.51449
     1.00000   0.51522
     1.04000   0.51503
     1.08000   0.51402
     1.12000   0.51228
     1.16000   0.50990
     1.20000   0.50695
     1.24000   0.50351
     1.28000   0.49964
     1.32000   0.49540
     1.36000   0.49084
     1.40000   0.48600
     1.44000   0.48094
     1.48000   0.47569
     1.52000   0.47029
     1.56000   0.46476
     1.60000   0.45913
     1.64000   0.45343
     1.68000   0.44768
     1.72000   0.44190
     1.76000   0.43609
     1.80000   0.43029
     1.84000   0.42450
     1.88000   0.41873
     1.92000   0.41299
     1.96000   0.40730
     2.00000   0.40165
     2.04000   0.39606
     2.08000   0.39052
     2.12000   0.38505
     2.16000   0.37965
     2.20000   0.37432
     2.24000   0.36907
     2.28000   0.36389
     2.32000   0.35879
     2.36000   0.35377
     2.40000   0.34883
     2.44000   0.34396
     2.48000   0.33918
     2.52000   0.33448
     2.56000   0.32986
     2.60000   0.32532
     2.64000   0.32086
     2.68000   0.31647
     2.72000   0.31217
     2.76000   0.30794
     2.80000   0.30379
     2.84000   0.29971
     2.88000   0.29571
     2.92000   0.29177
     2.96000   0.28792
     3.00000   0.28413
     3.04000   0.28041
     3.08000   0.27675
     3.12000   0.27317
     3.16000   0.26965
     3.20000   0.26619
     3.24000   0.26280
     3.28000   0.25947
     3.32000   0.25619
     3.36000   0.25298
     3.40000   0.24983
     3.44000   0.24673
     3.48000   0.24368
     3.52000   0.24069
     3.56000   0.23776
     3.60000   0.23487
     3.64000   0.23204
     3.68000   0.22925
     3.72000   0.22652
     3.76000   0.22383
     3.80000   0.22118
     3.84000   0.21859
     3.88000   0.21603
     3.92000   0.21352
     3.96000   0.21106
     4.00000   0.20863
     4.04000   0.20625
     4.08000   0.20390
     4.12000   0.20159
     4.16000   0.19932
     4.20000   0.19709
     4.24000   0.19490
     4.28000   0.19274
     4.32000   0.19061
     4.36000   0.18852
     4.40000   0.18646
     4.44000   0.18444
     4.48000   0.18244
     4.52000   0.18048
     4.56000   0.17855
     4.60000   0.17665
     4.64000   0.17477
     4.68000   0.17293
     4.72000   0.17111
     4.76000   0.16932
     4.80000   0.16756
     4.84000   0.16582
     4.88000   0.16412
     4.92000   0.16243
     4.96000   0.16077
     5.00000   0.15913
     5.04000   0.15752
     5.08000   0.15593
     5.12000   0.15437
     5.16000   0.15282
     5.20000   0.15130
     5.24000   0.14980
     5.28000   0.14832
     5.32000   0.14687
     5.36000   0.14543
     5.40000   0.14401
     5.44000   0.14261
     5.48000   0.14123
     5.52000   0.13987
     5.56000   0.13853
     5.60000   0.13720
     5.64000   0.13589
     5.68000   0.13460
     5.72000   0.13333
     5.76000   0.13208
     5.80000   0.13084
     5.84000   0.12961
     5.88000   0.12841
     5.92000   0.12721
     5.96000   0.12604
     6.00000   0.12488
     6.04000   0.12373
     6.08000   0.12260
     6.12000   0.12148
     6.16000   0.12038
     6.20000   0.11928
     6.24000   0.11821
     6.28000   0.11714
     6.32000   0.11609
     6.36000   0.11506
     6.40000   0.11403
     6.44000   0.11302
     6.48000   0.11202
     6.52000   0.11103
     6.56000   0.11005
     6.60000   0.10908
     6.64000   0.10813
     6.68000   0.10719
     6.72000   0.10626
     6.76000   0.10533
     6.80000   0.10442
     6.84000   0.10352
     6.88000   0.10263
     6.92000   0.10175
     6.96000   0.10088
     7.00000   0.10003
     7.04000   0.09918
     7.08000   0.09833
     7.12000   0.09750
     7.16000   0.09668
     7.20000   0.09587
     7.24000   0.09506
     7.28000   0.09427
     7.32000   0.09348
     7.36000   0.09271
     7.40000   0.09194
     7.44000   0.09118
     7.48000   0.09042
     7.52000   0.08968
     7.56000   0.08894
     7.60000   0.08821
     7.64000   0.08749
     7.68000   0.08678
     7.72000   0.08607
     7.76000   0.08537
     7.80000   0.08468
     7.84000   0.08399
     7.88000   0.08332
     7.92000   0.08265
     7.96000   0.08198
